DISTRICT,COUNT(VOTES.STATION),SUM(VOTERS),SUM(ABED_BWANIKA),SUM("AMAMA_MBABAZI "),SUM("BARYAMUREEBA_VENANSIUS "),SUM("BENON_BUTA_BIRAARO "),SUM(KIZZA_BESIGYE_KIFEFE),SUM("MABIRIZI_JOSEPH "),SUM(MAUREEN_FAITH_KYALYA_WALUUBE),SUM(YOWERI_KAGUTA_MUSEVENI),SUM(VALID_VOTES),SUM(INVALID_VOTES),SUM(TOTAL_VOTES)
001 APAC,259,152061,1282,1267,1307,373,38644,444,505,56371,100193,5023,105216
002 ARUA,596,336384,3737,5215,3341,1313,68108,1121,1346,114868,199049,20736,219785
003 BUNDIBUGYO,210,98976,300,457,158,123,8923,69,331,61553,71914,4054,75968
004 BUSHENYI,212,124934,270,490,268,182,26654,155,117,61837,89973,2797,92770
005 GULU,332,184791,1719,10487,1794,835,48594,478,596,31391,95894,5694,101588
006 HOIMA,412,228917,578,907,448,236,35249,363,315,111133,149229,8194,157423
007 IGANGA,382,222276,838,733,328,163,50506,460,2157,82281,137466,7444,144910
008 JINJA,399,233848,494,605,284,159,61692,196,1572,66063,131065,5861,136926
009 KABALE,478,271884,786,1635,888,259,65630,220,213,132047,201678,5465,207143
010 KABAROLE,428,233385,647,782,560,277,35603,187,284,122134,160474,7687,168161
011 KALANGALA,81,29729,301,167,88,56,8080,39,76,10161,18968,1040,20008
012 KAMPALA,1338,1014294,6322,6579,496,924,334919,544,1145,157098,508027,14112,522139
013 KAMULI,377,200257,797,1173,837,195,34170,235,1357,84349,123113,6498,129611
014 KAPCHORWA,124,48430,129,119,122,137,11529,76,85,24761,36958,1747,38705
015 KASESE,603,335162,2099,1290,795,443,132762,342,329,97367,235427,9293,244720
016 KIBAALE,573,322342,796,1543,1169,379,35706,288,419,176339,216639,12933,229572
017 KIBOGA,134,67012,269,253,108,44,10253,60,113,33039,44139,2163,46302
018 KISORO,240,133857,200,324,398,86,9943,71,98,86533,97653,2804,100457
019 KITGUM,183,86477,827,8762,463,272,19057,303,633,21806,52123,4799,56922
020 KOTIDO,96,50179,328,386,173,144,1141,174,471,29673,32490,3397,35887
021 KUMI,169,102223,1148,1043,765,363,27897,486,541,36653,68896,4118,73014
022 LIRA,300,182731,1434,1756,1017,536,65882,516,563,46777,118481,6006,124487
023 LUWEERO,382,201664,1286,847,503,211,53084,271,373,71382,127957,5807,133764
024 MASAKA,244,139736,1484,1153,247,140,46549,107,153,41998,91831,2916,94747
025 MASINDI,248,134494,583,770,533,217,21561,173,212,55106,79155,6409,85564
026 MBALE,428,220339,533,970,615,243,70258,182,301,65543,138645,6545,145190
027 MBARARA,444,242788,263,635,252,196,45284,136,142,113697,160605,3760,164365
028 MOROTO,71,32229,155,169,230,84,1270,182,334,20240,22664,2206,24870
029 MOYO,109,54521,602,929,420,181,12240,113,206,20973,35664,2810,38474
030 MPIGI,214,110907,1240,613,467,163,31178,188,199,41618,75666,3210,78876
031 MUBENDE,591,281901,1232,1211,714,426,37725,294,400,143801,185803,9455,195258
032 MUKONO,538,292011,2480,1574,583,442,82858,371,531,86328,175167,9752,184919
033 NEBBI,317,173502,1471,4119,959,649,29145,512,723,72505,110083,9573,119656
034 NTUNGAMO,432,238337,400,656,571,216,50691,154,155,112076,164919,6540,171459
035 PALLISA,278,154537,1274,1129,1087,351,45205,405,480,58560,108491,4458,112949
036 RAKAI,383,223901,1678,1101,511,260,51338,290,361,90593,146132,6715,152847
037 RUKUNGIRI,276,162019,301,557,382,130,58883,89,71,56425,116838,4215,121053
038 SOROTI,211,125841,1091,1270,861,384,49282,494,307,32917,86606,4022,90628
039 TORORO,411,233437,1245,1424,789,464,85911,453,903,64882,156071,9557,165628
